seed,method,estimate,std_error,bias,abs_bias,balance_score
0,TM-Baseline,1.9483099905694026,0.016233617234803273,-0.05169000943059743,0.05169000943059743,31712.58623154493
0,SG-TM,2.0053560592255235,0.05864254422416075,0.005356059225523513,0.005356059225523513,142067.81847123287
0,ASD-TM,2.007221749073785,0.057899512062753025,0.007221749073785144,0.007221749073785144,103.45714814849634
1,TM-Baseline,1.9877227531064163,0.0198734510928564,-0.012277246893583671,0.012277246893583671,29710.917396546833
1,SG-TM,1.9789229114458373,0.05014693320911936,-0.021077088554162682,0.021077088554162682,144129.48728885385
1,ASD-TM,1.8988221469083257,0.07791319607498005,-0.10117785309167426,0.10117785309167426,219.5282969523687
2,TM-Baseline,1.9953736219432725,0.02216221149751187,-0.004626378056727498,0.004626378056727498,30949.40991133243
2,SG-TM,2.0640971704998186,0.052110898601722716,0.06409717049981856,0.06409717049981856,143735.32051064493
2,ASD-TM,2.021089479245297,0.022438322953664824,0.021089479245297138,0.021089479245297138,272.1372283244709
3,TM-Baseline,2.0151070112823577,0.018066436022036583,0.015107011282357696,0.015107011282357696,29822.320961622572
3,SG-TM,1.8978945774124245,0.05701159028271808,-0.10210542258757549,0.10210542258757549,147071.78190480502
3,ASD-TM,2.1197447771072753,0.06018028481543276,0.11974477710727527,0.11974477710727527,76.43701084271015
4,TM-Baseline,2.00050819867428,0.02275697524976672,0.0005081986742800915,0.0005081986742800915,32385.432022578585
4,SG-TM,1.86523331160008,0.06994295919483268,-0.1347666883999199,0.1347666883999199,146777.85049444818
4,ASD-TM,2.064020947452479,0.06041077576631915,0.06402094745247888,0.06402094745247888,132.65763047734072
5,TM-Baseline,2.0404615509209476,0.016590365013348686,0.04046155092094761,0.04046155092094761,30881.737966519522
5,SG-TM,2.0275025535974343,0.06848153054878273,0.027502553597434254,0.027502553597434254,146121.119670892
5,ASD-TM,1.9528746183167478,0.05876708838930234,-0.0471253816832522,0.0471253816832522,197.4653262715001
6,TM-Baseline,1.9929755451252527,0.02325232144121912,-0.007024454874747343,0.007024454874747343,31491.922160311897
6,SG-TM,1.9891311770089928,0.0353977258444652,-0.010868822991007221,0.010868822991007221,145283.48241936657
6,ASD-TM,2.1055273402033463,0.03804380823348856,0.10552734020334631,0.10552734020334631,119.10105622039555
7,TM-Baseline,2.0078632271846573,0.016547197907043027,0.007863227184657262,0.007863227184657262,28824.700650002193
